,state,name,type,city,county,enroll,mmr,overall,xrel,xmed,xper
196,Arizona,Tucson Country Day,Charter,Tucson,Pima,73.0,98.63,92.06,4.33,1.37,7.53
197,Arizona,Tumbleweed Elementary,Public,Phoenix,Maricopa,73.0,98.63,92.06,4.33,2.0,1.37
198,Arizona,Apache Elementary,Public,Peoria,Maricopa,71.0,98.59,92.06,4.33,2.0,1.41
199,Arizona,Western Peaks Elementary,Public,Surprise,Maricopa,71.0,98.59,92.06,4.33,2.0,2.82
200,Arizona,William T Machan Elementary,Public,Phoenix,Maricopa,70.0,98.57,92.06,4.33,2.0,7.53
201,Arizona,Pioneer Preparatory - A Challenge Foundation,Charter,Phoenix,Maricopa,69.0,98.55,92.06,4.33,2.0,1.45
202,Arizona,Westpark Elementary,Public,Buckeye,Maricopa,69.0,98.55,92.06,4.33,2.0,1.45
203,Arizona,Boulder Creek Elementary,Public,Mesa,Maricopa,66.0,98.48,92.06,4.33,2.0,7.53
204,Arizona,Copper Canyon Elementary,Public,Scottsdale,Maricopa,66.0,98.48,92.06,4.33,2.0,1.52
205,Arizona,George Washington Carver Elementary,Public,Yuma,Yuma,66.0,98.48,92.06,4.33,2.0,7.53
206,Arizona,Maurice C Cash,Public,Phoenix,Maricopa,66.0,98.48,92.06,4.33,2.0,7.53
207,Arizona,North Ranch Elementary,Public,Scottsdale,Maricopa,66.0,98.48,92.06,4.33,2.0,1.52
208,Arizona,Ironwood,Public,Casa Grande,Pinal,65.0,98.46,92.06,4.33,2.0,1.54
209,Arizona,Sundance Elementary School-85345,Public,Peoria,Maricopa,65.0,98.46,92.06,4.33,2.0,7.53
210,Arizona,Whittier Elementary School-85201,Public,Mesa,Maricopa,65.0,98.46,92.06,4.33,2.0,6.15
211,Arizona,Mohave Accelerated Elementary,Charter,Bullhead City,Mohave,64.0,98.44,92.06,4.33,2.0,1.56
212,Arizona,Salt River Elementary,Private,Scottsdale,Maricopa,64.0,98.44,92.06,4.33,2.0,1.56
213,Arizona,Alice Byrne Elementary,Public,Yuma,Yuma,62.0,98.39,92.06,4.33,2.0,1.61
214,Arizona,Canyon Breeze Elementary,Public,Avondale,Maricopa,62.0,98.39,92.06,4.33,2.0,1.61
215,Arizona,Las Brisas Academy,Public,Goodyear,Maricopa,62.0,98.39,92.06,4.33,2.0,1.61
216,Arizona,Rancho Gabriela Elementary,Public,Surprise,Maricopa,62.0,98.39,92.06,4.33,2.0,1.61
217,Arizona,Saddleback Elementary,Public,Maricopa,Pinal,62.0,98.39,92.06,4.33,2.0,1.61
218,Arizona,Sunset Ridge Elementary-85305,Public,Glendale,Maricopa,62.0,98.39,92.06,4.33,2.0,3.23
219,Arizona,Centennial Elementary,Public,Tucson,Pima,61.0,98.36,92.06,4.33,1.64,1.64
220,Arizona,Lehi Elementary,Public,Mesa,Maricopa,61.0,98.36,92.06,4.33,1.64,1.64
221,Arizona,Sunland Elementary,Public,Phoenix,Maricopa,61.0,98.36,92.06,4.33,1.64,1.64
222,Arizona,Bicentennial South,Public,Glendale,Maricopa,121.0,98.35,92.06,4.33,2.0,1.65
223,Arizona,Rice,Public,San Carlos,Gila,121.0,98.35,92.06,4.33,2.0,7.53
224,Arizona,Discovery,Public,Glendale,Maricopa,60.0,98.33,92.06,4.33,2.0,1.67
